record.copyrightText	count
DIRECCION DE CATASTRO - AGENCIA DE RECAUDACION TRIBUTARIA, PROVINCIA DE RIO NEGRO.	1
DIRECCION DE CATASTRO - AGENCIA DE RECAUDACION TRIBUTARIA PROVINCIA DE RIO NEGRO.
MORENO 175 – VIEDMA – RIO NEGRO.
(02920) 425923
info@agencia.rionegro.gov.ar	1
Cita: Informe sobre canteras y ladrilleras del AMeT 2013. Inédito.	1
Cita: Guido, E.; Sesma, P.; Puchulu, M.E. y S. Sabaté. 2006. “Geomorfología. Volumen II, Tomo II-5 y Anexos: Tomo II-5:1: Antecedentes; Tomo II-5-2: Arroyo Manantial; Tomo II-5-3: Arroyo El Parque; Tomo II-5-4: Arroyo Las Conchas, Tomo II-5-5: Arroyo Los Azahares, Tomo II-5-6: Relevamiento y mapeo de los deslizamientos y Tomo II-5-7: Análisis y evaluación de las líneas de escurrimiento del área pedemontana”. Correspondiente al Plan Director para la Sistematización de las quebradas del flanco oriental de la Sierra de San Javier. Actualización del sistema de desagües periféricos que comprende a los departamentos de Tafí Viejo, Yerba Buena y Capital, incluye las Comunas Rurales de El Manantial y San Pablo. En: SEOP (Secretaría de Obras Públicas de Tucumán). Edición mayo de 2006.	1
Cita: Fernández, D; M.A. Lutz; F Pereyra; P Tchilinguirian; M.G., García, y M Hidalgo. 2008. Carta de Líneas de Base Ambiental 2766-II, San Miguel de Tucumán, Provincias de Tucumán, Salta, Catamarca y Santiago del Estero. Programa Nacional de Cartas Geológicas y Temáticas de la República Argentina 1:250.00. Secretaría de Minería de la Nación. SEGEMAR-IGRM. Dirección de Geología Ambiental y Aplicada.	1
Fundación ProYungas 2005-2010	1
Dirección de Recursos Hídricos 2007
Cita: Mapa de Recursos Hídricos Superficiales de la provincia de Tucumán. Dirección de Recursos Hídricos.	1
Cita: Guido, E. y P. Sesma. 2008. “Zonificación de deslizamientos en la ladera oriental de la sierra de San Javier, provincia de Tucumán”. XVII Congreso Geológico Argentino. Tomo III, Capítulo Geología Ambiental – Peligrosidad Geológica, pp 1141-1142. San Salvador de Jujuy. ISBN 978-987-22403-1-8. Zappettini, E.O., Crostas, S., González, M.A. y Segal, S. J. (eds.), Bs. As. Argentina.	1
Cita: Guido y Sesma (en prensa). Geografía Física de la provincia de Tucumán. EN: Libro Geología de Tucumán, 3° edición. San Miguel de Tucumán	1
Cita: Sesma, P.; Guido, E. y M.E. Puchulu. 2010. "Geología de la ladera oriental de la sierra de San Javier, soporte físico para la gestión territorial". En: Ecología de una interfase natural - urbana. La Sierra de San Javier y el Gran San Miguel de Tucumán. Editor: Ricardo Grau. 239 pp. Capítulo 2, Pág. 19-32. ISBN: 978-987-1366-70-5. Editorial EDUNT (Editorial de la Universidad Nacional de Tucumán). San Miguel de Tucumán, Tucumán, Argentina	1
Brown A.D. y S. Pacheco 2005
Cita: Brown A.D. y S. Pacheco. 2005. Propuesta de actualización del mapa ecorregional de la Argentina. La Situación Ambiental de la Argentina. Fundación Vida Silvestre.	1
INDEC modificado proyecto DAMI	1
Municipios de Las Talitas, Capital y Yerba Buena
Cita: SMT (Ordenanza 2648/98), Las Talitas (Ordenanza 125/02), Yerba Buena (Ordenanza 613/94), Tafí Viejo (Ordenanza 107/87)	1
Zuccardi R., G. Fadda.
Cita: Zuccardi R., G. Fadda. 1985. Bosquejo agrológico de la provincia de Tucumán. Miscelánea N 86. UNT. Fac. de Agronomía y Zootecnia.	1
Proyecto DAMI 2013
Cita: Informe final Programa  de Desarrollo de Áreas Metropolitanas del Interior (DAMI). Tucumán.	1
Proyecto DAMI 2013
Cita: Informe final Programa  de Desarrollo de Áreas Metropolitanas del Interior (DAMI). Tucumán	1
Cita: Informe final Programa  de Desarrollo de Áreas Metropolitanas del Interior (DAMI). Tucumán.	1
Programa  de Desarrollo de Áreas Metropolitanas del Interior (DAMI). Tucumán	1
zuletzt aktualisiert: 09.10.2017, M. Rieckh	1
http://doi.pangaea.de/10.1594/PANGAEA.844985	1
http://doi.pangaea.de/10.1594/PANGAEA.844984	1
http://doi.pangaea.de/10.1594/PANGAEA.844983	1
http://doi.pangaea.de/10.1594/PANGAEA.844987	1
Conservation Research, EPD, ACT Government	1
Geoscience Australia, Mineral Resources Tasmania	1
Mineral Resource Tasmania	1
Mineal Resources Tasmania	1
Areas of high prospectivty are derived, and modified from several sources including:
 Large, R.R., and McNeill, A.W.,  2012,  Minerals Prospectivty Assessment: Proposed Reserve areas for Independent Verification Group, Tasmnaian Forest Intergovernmentl Agreement.
Cumming, G.C., et al, 2019, Sand Prospectivity and Confidence Map for Tasmania  (MRT report UR2019_01).	1
Mineral Resources Tasmian	1
Updated November 2021
Spatial Services Team
Planning Information Services	1
renee.ward@delwp.vic.gov.au	1
Jack J McCarroll	1
Further information  
planning.mappingservices@delwp.vic.gov.au  
  
  
Contacts  
E: mitchell.valentine@delwp.vic.gov.au  
E: david.sykes@delwp.vic.gov.au  
E: tim,gray@delwp.vic.gov.au	1
CSIRO Australia	1
For more detail on Yarra River Land please contact:

Steven Elliott
Senior Planner, Planning Implementation 
Department of Environment, Water, Land and Planning 
Phone: (03) 8683 0920
Email: steven.elliott@delwp.vic.gov.au	1
Data Source: State of Queensland	1
Sunhine Coast Regional Council	1
Sunsine Coast Regional Council	1
Sunshine Coast Council – Environmental Operations – Natural Areas Management – Fire Management team	1
Natural Areas Management, Environmental Operations, Sunshine Coast Council	1
scc 2018	1
SCC	1
Source: Sunshine Coast Council Digital and Asset Management Branch (Asset Information Services); Transport Infrastructure Planning Branch	1
scrc 2018	1
(c) Sunshine Coast Regional Council, usage in accordance with SCRC Terms & Conditions.	1
Transport Infrastructure Planning Branch, Built Infrastructure Group, Sunshine Coast Regional Council	1
ABS ( Australian Bureau of Statistics)	1
Source: Sunshine Coast Council Asset Manaagement Branch (Asset Information Services); Parks & Gardens Branch; Civil Asset Management Branch; Property Management Branch; Environmental Operations Branch.	1
Sunshine Coast Regional Council, Department of Education	1
Colin Potter - Business Analytics Officer - Creative Arts and Events - Sunshine Coast Council	1
Briomextrix	1
Sunshine Coast Council Information Communication Technology Services Branch (Asset Information Services); Sunshine Coast Council Parks and Gardens Branch	1
Sunshine Coast  Regional Council	1
Source: Sunshine Coast Council Asset Informations Services (Asset Management Branch).	1
Source: Sunshine Coast Council Digital and Information Services Branch (Asset Information Services); Waste and Resource Management Branch; Civil Asset Management Branch; Property Management Branch; Environmental Operations Branch.	1
Source: Sunshine Coast Council ICT, Digital, Spatial and Data (Asset Information Services); Parks and Gardens Branch; Environmental Operations Branch; Civil Asset Management Branch; Transport Infrastructure Management Branch	1
Data Sources: Sunshine Coast Regional Council	1
Department of Transport and Main Roads	1
SCC Technology Services Branch (Asset Information Services); SCC Transport Infrastructure Management Branch; SCC Environmental Operations Branch	1
Sunshine Coast Regional Councill	1
Sunshine Coast Council Information Communication Technology Services Branch (Asset Information Services); ___________ Branch	1
Sunshine Coast Regional Council, Asset Information Services	1
Sunshine Coast Council Information Communication Technology Services Branch (Asset Information Services); Parks and Gardens Branch	1
Source: Sunshine Coast Council ICT, Digital, Spatial and Data Branch (Asset Information Services); Waste and Resource Management Branch; Property Management Branch; Environmental Operations Branch	1
Source: Sunshine Coast Council Information Communication Technology Services Branch (Asset Information Services); Parks and Gardens Branch and Property Management Branch.	1
Sunshine Coast Council Asset Information Services (Asset Management Branch), Property Management.	1
© The Commonwealth of Australia (Australian Bureau of Statistics) 2023	1
© The Commonwealth of Australia (Australian Electoral Commission) 2023	1
© State of Queensland (Queensland Police Service) 2013	1
© State of Queensland (Department of National Parks, Sport and Racing), 2016	1
We request attribution as © Commonwealth of Australia (Bureau of Meteorology) 2022
ABARES | Bureau of Meteorology | QLD Department of Environment and Science | SA Department of Environment and Water | VIC Department of Environment, Land, Water and Planning | NT Department of Environment, Parks and Water Security | NSW Department of Industry | TAS Department of Natural Resources and Environment | QLD Department of Regional Development, Manufacturing and Water | WA Department of Water and Environmental Regulation | ACT Environment and Planning Directorate | Geoscience Australia | Jacobs | Murray-Darling Basin Authority | Southern Rural Water | WA Water Corporation	1
Fiona Ranson, 
Alex Crothers	1
Department of Planning, Industry and Environment - Environment, Energy and Science
Greater Sydney Ecosystems and Threatened Species team
Reviewers in the Ecological and Classification Team, Science Economic Insights
Reviewers in the Ecosystems and Threatened Species teams: Greater Sydney, North East, Hunter Central Coast, Illawarra, South Coast; and in Parks Programs.	1
Office of Environment and Heritage, Regional Operations Group, North Branch, North East Region	1
Department of Planning, Industry and Environment, 2020, Soil Landscapes of Central and Eastern NSW - v2.1, NSW Office of Environment and Heritage, Sydney.	1
Department of Planning, Industry and Environment, 2020, Australian Soil Classification (ASC) Soil Type map of NSW, Version 4, Department of Planning, Industry and Environment, Sydney.	1
Department of Planning, Industry and Environment (2020) Soil Group (GSG) Soil Type map of NSW - Version 4.0, Department of Planning, Industry and Environment, Parramatta.	1
This feature class was created and is maintained by the Forestry Corporation of NSW's Assets and Estates unit.	1
FCNSW's Forest Information and Planning	1
Wayne Cook, Allan Nicholson, Andrew Wooldridge, Brian Jenkins, Rob Muller.	1
This feature class was created and is maintained by the Forestry Corporation of NSW's Forestry Information and Planning unit.	1
World Heritage Areas: Australia are copyright (c) Commonwealth of Australia, Australian Government Department of the Environment and Energy 2017.	1
Walker PJ, 1991, Land System of Western NSW, Technical Report No. 25, Soil Conservation Service of NSW, Sydney.	1
Bureau of Meteorology. Streamflow data as provided by lead water organisations and agencies around the country. Material (pages, documents, online graphs) on this website is subject to copyright. 

The processed data from Regional Water Information can be used under a Creative Commons Licence as detailed on the Bureau's website at www.bom.gov.au/other/copyright.shtml. The terms and conditions of the relevant CC licenses are at http://creativecommons.org/licenses/by/3.0/au/.	1
Commonwealth of Australia (Geoscience Australia)	1
Garrad Hassan Pacific Pty Ltd, trading as DNV GL.	1
RMS. Journey nformation & Integration Section.	1
vicroads	1
VicRoads	1
https://project.mainroads.wa.gov.au/tcmp/improving_your_journey/Pages/Yellow-Box-Intersection-Trials.aspx	1
https://project.mainroads.wa.gov.au/tcmp/completed/roadupgrades/Pages/Additional-Lane-Mitchell-Freeway---Charles-St-to-Market-St.aspx	1
https://project.mainroads.wa.gov.au/tcmp/completed/improvingyourjourney/Pages/CCTV.aspx	1
https://project.mainroads.wa.gov.au/tcmp/completed/roadupgrades/Pages/Dedicated-Exit-Lanes.aspx	1
http://project.mainroads.wa.gov.au/tcmp/newtoperth/Pages/Flashing-Yellow-to-Turning-Traffic.aspx	1
https://project.mainroads.wa.gov.au/tcmp/completed/roadupgrades/Pages/default.aspx	1
http://project.mainroads.wa.gov.au/tcmp/signals/Pages/Pedestrian-Countdown-Timers.aspx	1
http://project.mainroads.wa.gov.au/tcmp/newtoperth/Pages/New-Freeway-and-Highway-Merge-Lines.aspx	1
http://project.mainroads.wa.gov.au/tcmp/signals/Pages/Right-Turn-Filtering.aspx	1
http://project.mainroads.wa.gov.au/tcmp/improving_your_journey/Pages/Variable-Message-Sign-Expansion.aspx	1
https://project.mainroads.wa.gov.au/tcmp/completed/improvingyourjourney/Pages/Fog-and-Smog-Warning-System-trial.aspx	1
PLEIADES satellites imagery data: “© CNES 2021, Distribution AIRBUS DS”	1
DPaW, Flora, Priority, Threatened	1
Heritage Tasmania - <a href='https://creativecommons.org/licenses/by/3.0/au/' target='_blank'><img src='https://licensebuttons.net/l/by/3.0/88x31.png' alt='Creative Commons (BY)' /></a><a href='http://www.thelist.tas.gov.au' target='_blank'>the LIST</a> &copy; State of Tasmania	1
http://www.metrotas.com.au	1
http://listdata.thelist.tas.gov.au/public/ILS Data Attribution Guidelines.pdf	1
© The State of Queensland (Department of Resources) 2022	1
Queensland Herbarium (2021). Biodiversity Status of Pre-clearing and 2019 Remnant Regional Ecosystems of Queensland. Version 12 (March 2021). State of Queensland (Department of Environment and Science).	1
Queensland Herbarium (2021). Pre-clearing and Remnant 2019 Broad Vegetation Groups of Queensland. Version 5.0 (March2021). State of Queensland (Department of Environment and Science).	1
Copyright: The State of Queensland (Department of Environment and Science) 2020.	1
Dataset is wholly created and owned by Natural Resources and Mines for the State of Queensland.	1
Credits: © State of Queensland (Department of Environment and Science), 2023	1
Chris Holloway, Scott Irvine.	1
Source Data: Department of Environment and Science 2021.
MSES: Department of Environment and Science 2021.	1
Department of Environment and Science 2021	1
Department of Environment and Science 2020	1
Source Data: Department of National Parks Sport and Racing.
MSES: Department of Environment and Heritage Protection.	1
Department of Environment and Science 2020.	1
Department of Environment and Heritage Protection.	1
The vegetation management watercourse and drainage feature map  is produced by the Department of Natural Resources, Mines and Energy © State of Queensland (Department of Natural Resources, Mines and Energy) 2021
This MSES layer is produced for the purposes of the State Planning Policy 2017 by the Department of Environment and Science  © State of Queensland (Department of Environment and Science) 2021	1
© State of Queensland (Department of Environment and Science), 2019.	1
Source Data: Department of State Developement Manufactureing Infrastructure and Planning (DSDMIP)
MSES: Department of Environment and Science (DES).	1
© State of Queensland (Department of Environment and Science) 2022, Biodiversity Assessment and Mapping Methodology Version 2.2, Biodiversity Assessment, Ecosystem Analysis and Support, Conservation and Sustainability Services Division, Department of Environment and Heritage Protection, Brisbane. Available: https://www.qld.gov.au/__data/assets/pdf_file/0032/93668/biodiversity-assessment-mapping-methodology.pdf, Method for Mapping Matters of State Environmental Significance . Environment Policy and Programs Branch. Department of Environment and Science. Available https://environment.des.qld.gov.au/management/planning-guidelines/method-mapping-mses	1
Source Data: Department of Resources 2022
MSES: Department of Environment and Science 2022	1
Source Data:
Department of Natural Resources, Mines and Energy
Department of Environment and Science
MSES: Department of Environment and Science	1
© Northern Gulf Resource Management Group	1
© South West NRM	1
© Reef Catchments	1
© Southern Gulf Catchments	1
© The State of Queensland (Wet Tropics Management Authority) 2023	1
© The State of Queensland (Office of Groundwater Impact Assessment, Department of Resources) 2021	1
Queensland Government - Department of Natural Resources and Mines (2014)	1
Queensland Government - Department of Science, IT and Innovation (2017) and Department of Agriculture and Fisheries (2017)	1
Department of Agriculture and Fisheries (2017), Department of Natural Resources and Mines (2017)	1
Department of Agriculture and Fisheries (2017)	1
Biosecurity Queensland Control Centre, © State of Queensland (Department of Agriculture and Fisheries), 2019	1
© State of Queensland (Department of Natural Resources and Mines), 2019	1
© State of Queensland (Department of Environment and Science and Department of Natural Resources, Mines and Energy) 2020	1
&copy Commonwealth Scientific and Industrial Research Organisation (CSIRO) 2011	1
&copy CSIRO (Department of Resources) 2011	1
&copy State of Queensland (Department of Resources and Department of Environment and Science) 2021	1
© State of Queensland (DES) 2021	1
© Dam Owners and State of Queensland (Department of Natural Resources, Mines and Energy), 2020	1
© State of Queensland (Department of Resources ) 2021	1
© State of Queensland (Department of Resources), 2021	1
© State of Queensland (Department of Natural Resources and Mines) 2016	1
This data were created by Geoscience Australia and are subject to Commonwealth of Australia Copyright.	1
© State of Queensland (Department of State Development), 2019	1
© State of Queensland (Department of Treasury) 2016	1
© The State of Queensland (Department of State Development, Infrastructure, Local Government and Planning) 2021	1
Department of State Development, Manufacturing, Infrastructure and Planning, March 2020	1
© The State of Queensland (Non-State Schools Accreditation Board) 2018.	1
Data made by DTMR Maritime Safety Queensland	1
© State of Queensland (Transport and Main Roads), 2023	1
Department of Industry - Crown Lands and Water	1
Destination NSW	1
Department of Industry - Lands	1
DPI Fisheries	1
Contact organisation: NSW Department of Primary Industries
Contact position: Marcus Riches, Program Leader (Coastal Systems)
Postal address: Port Stephens Research Centre
Postal address: Private Bag 1
Locality: Nelson Bay
State: NSW
Country: Australia
Postcode: 2315
Telephone: 1300 550 474
Electronic mail address: fisheries.data@dpi.nsw.gov.au	1
NSW Department of Primary Industries - Fisheries	1
© State of New South Wales through Department of Primary Industries 2021	1
Data owned by DPI, Water. Initial licence information extracted from DPI, Water Licence Administration System. Contributions to data refinement have been made by the Healthy Floodplains Unit in Office of Environment and Heritage.	1
OEH Healthy Floodplains Unit and OEH Water, Wetlands and Coast Science Branch	1
1. NSW Office of Environment and Heritage (2013) Gwydir Floodplain Management Plan: Flood Behaviour Investigation. Report prepared for the Healthy Floodplains Project. Unpublished report.
2. Bowen, S and Simpson, S. L. (2010). Changes in the Extent and Condition of the Vegetation Communities of the Gwydir Wetlands and Floodplain 1996-2008. Final Report for the NSW Wetland Recovery Program. NSW Department of Environment Climate Change and Water, Sydney. (Gwydir Wetlands 2008. VIS Dataset ID: 3922).
3. Eco Logical Australia (2008). Vegetation Mapping for the Namoi and Border Rivers-Gwydir CMAs: Compilation of API Datasets and Preparation of a Hierarchical Vegetation Classification. Final Report for Border Rivers-Gwydir and Namoi CMAs. Project Nos. 125-002 & 129-002. March 2008. (brg_comp09. VIS Dataset ID: 3801).
4. NSW Office of Environment and Heritage (2015). BRG-Namoi Regional Native Vegetation Mapping. Technical Notes, NSW Office of Environment and Heritage, Sydney, Australia. (BRG Namoi v2. VIS Dataset ID: 4204).	1
OEH Healthy Floodplains Unit with aide from DPI water	1
OEH Healthy Floodplains Team	1
Department of Primary Industries, Water and NSW Department of Planning, Industry and Environment: Healthy Floodplains	1
NSW Department of Planning, Industry and Environment: Healthy Floodplains, Unit Biodiversity and Conservation Branch; and Waters, Wetlands and Coasts Science Branch,	1
NBNCo.	1
ACCC	1
This information is indicative only and may include material provided by parties other than the Commonwealth of Australia. This information is made available on the understanding that the Commonwealth is not providing professional advice and that users exercise their own skill and care with respect to its use. It should not be relied upon to be accurate, up-to-date or complete. The Commonwealth makes no representations or warranties as to the contents or accuracy of this information. To the extent permitted by law, the Commonwealth disclaims liability to any person or organisation in respect of anything done, or omitted to be done, in reliance upon this information.
Data is provided under a Creative Commons Attribution 2.5 Australia (CC BY 2.5 AU) license.
The details of the relevant licence conditions are available on the Creative Commons website	1
NBNCo	1
MySwitch ACMA	1
Release (2018/05) Source data: Geoscape Australia	1
HERE, Department of Infrastructure, Transport, Regional Development and Communications (Spatial Systems).	1
Department of Infrastructure, Transport, Regional Development, Communications and the Arts	1
NSW Office of Environment and Heritage, Healthy Floodplains Unit in conjuction with the Department of Primary Industries, Water.	1
Acknowledgements: This dataset is part of a national catchment scale land use mapping project funded by the Department of Agriculture and Water Resources and coordinated by ABARES as part of the Australian Collaborative Land Use and Management Program (ACLUMP). ACLUMP is a consortium of Australian Government, and state and territory government partners that promotes the development of nationally consistent land use, land cover and land management practice information for Australia. Datasets were provided by: the New South Wales Office of Environment and Heritage; the Northern Territory Department of Environment and Natural Resources; the Queensland Department of Science, Information Technology and Innovation; the South Australian Department of Environment, Water and Natural Resources; the Tasmanian Department of Primary Industries, Parks, Water and Environment; the Victorian Department of Economic Development, Jobs, Transport and Resources; and the Department of Primary Industries and Regional Development, Western Australia.	1
Australian Bureau of Agricultural and Resource Economics and Sciences, Forests of Australia (2018), Australian Bureau of Agricultural and Resource Economics and Sciences, Canberra, December. CC BY 4.0. www.doi.org/10.25814/5c59170ec780d	1
Northcote et al, NCST, Noel Schodtnecht, Bernie Powel, Ted Griffin - unpublished	1
 TERN acknowledges the important contributions of  state and federal soil agencies for providing access to soil profile data sets	1
Australian Bureau of Agricultural and Resource Economics and Sciences, Australia’s Indigenous land and forest estate (2020), Australian Bureau of Agricultural and Resource Economics and Sciences, Canberra, June, 2022. CC BY 4.0	1
Australian Bureau of Agricultural and Resource Economics and Sciences, Forests of Australia (2018), Australian Bureau of Agricultural and Resource Economics and Sciences, Canberra, December	1
Australian Bureau of Agricultural and Resource Economics and Sciences	1
Copyright (c) Commonwealth of Australia, Bureau of Meteorology 2003.	1
DEWHA = Department of the Environment, Water, Heritage and the Arts, GBRMPA = Great Barrier Reef Marine Park Authority, NSW_DECC = NSW Department of Environment and Climate Change, NSW_MPA = NSW Marine Park Authority, NT_PWS = NT Parks and Wildlife Service, PIRSA = Primary Industries and Resources SA, QLD_DEEDI = QLD Department of Employment, Economic Development and Innovation, QLD_DERM =  QLD Department of Environment and Resource Management, SA_DEH = SA Department of Environment and Heritage, VIC_DSE = VIC Department of Sustainability and Environment, WA_DEC = Western Australia Department of Environment and Conservation, WA_DOF = WA Department of Fisheries	1
When using this dataset for analysis or mapping you must always acknowledge the Environment Branch, Indigenous Employment and Recognition Division, Department of the Prime Minister and Cabinet and the Environmental Resources Information Network (ERIN), Department of the Environment and Energy (c) Department of the Environment and Energy and Department of the Prime Minister and Cabinet, 2016.	1
Key Ecological Features, Copyright Commonwealth of Australia, Australian Government Department of the Environment and Energy, 2015	1
This dataset was produced by applying a set of masks to the HCAS data. The HCAS was jointly developed by the Commonwealth Scientific and Industrial Research Organisation (CSIRO) and the Australian Government Department of Agriculture, Water and the Environment as a collaborative research project.	1
Department of Climate Change, Energy, the Environment and Water	1
Australian Marine Parks. © Commonwealth of Australia, Australian Government Department of the Environment and Energy, 2018	1
Australian Government Department of Climate Change, Energy, the Environment and Water 2023	1
Australian Government, Department of the Environment 2018	1
Australia, Commonwealth Heritage List - Spatial Database is copyright (c) Commonwealth of Australia, Heritage and Wildlife Division of the Australian Government Department of the Environment, 2013.	1
Australian Government Department of the Environment, 2014	1
Australian Government Department of the Environment	1
Interim Biogeographic Regionalisation for Australia v. 7 (IBRA).  Department of the Environment (2012), [ESRI shapefile], Williams, K.J., Ferrier, S., Rosauer, D., Yeates, D., Manion, G., Harwood, T., Stein, J., Faith, D.P., Laity, T., Whalen, A., (2010) Harnessing Continent-Wide Biodiversity Datasets for Prioritising National Conservation Investment. A report prepared for the Department of Sustainability, Environment, Water, Population and Communities. CSIRO Ecosystem Sciences, Canberra, Cadastral parcel and land use analysis (2013). Environmental Resources Information Network, Department of Environment., Catchment Scale Land Use Mapping for Australia (Update March 2010,CLUM Update 03/10; Australian Bureau of Agricultural and Resource Economics and Sciences).	1
Where a derivative is generated or redistributed under Creative Commons licence, the licensor must credit the Department of the Environment and provide a link to the source (this will usually be to where the data was originally downloaded from).	1
Australian Government Department of the Environment, 2016	1
Australian Government, Department of Environment, 2014	1
Department of the Environment and Energy, 2017	1
Australian Government, Department of the Environment, 2014	1
Department of the Environment, 2016	1
National Landcare Program Management Units 2020, Commonwealth of Australia 2020	1
Natural Resource Management Regions (NRM) 2020, Commonwealth of Australia 2020.	1
Australian Government Department of the Environment and Energy.	1
Commonwealth of Australia, Department of Environment with data compiled through cooperative efforts of the States/Territories Government wetland agencies. April 2015.	1
Australian Government, Department of the Environment and Australian Collaborative Rangelands Information System (ACRIS), 2016	1
Strategic Assessment Areas © Australian Government Department of the Environment (2015)., State/Territory governments are also acknowledged where appropriate for respective data contributions., Where a derivative is generated or redistributed under Creative Commons licence, the licensor must credit the Department of the Environment.	1
Department of Environment and Heritage Protection, Queensland
Department of Environment and Science, Queensland
Office of Environment and Heritage, New South Wales
The Environment and Sustainable Development Directorate, Australian Capital Territory
Department of Environment, Land, Water and Planning, Victoria
Department of Primary Industries, Parks, Water and Environment, Tasmania
Department for Environment and Water, South Australia
Department of Biodiversity, Conservation and Attractions, Western Australia
Department of Environment and Natural Resources, Northern Territory
Centre for Plant Biodiversity Research
Australian Museum
FrogID™ data used with the permission of the Australian Museum
Museum Victoria
Queensland Museum
South Australian Museum
Tasmanian Museum and Art Gallery
Western Australian Museum
Online Zoological Collections of Australian Museums
Australian National Herbarium, Atherton and Canberra
National Herbarium of NSW
Northern Territory Herbarium
Queensland Herbarium
Royal Botanic Gardens and National Herbarium of Victoria
State Herbarium of South Australia
Tasmanian Herbarium
Western Australian Herbarium
Australian Bird and Bat Banding Scheme
Australian National Wildlife Collection
Birdlife Australia
Ocean Biogeographic Information System
Australian Government, Department of Defence
Forestry Corporation of NSW
University of New England
Geoscience Australia
CSIRO
Other groups and individuals	1


The Remote Sensing and Landscape Science Branch, Science Economics and Insights Division, New South Wales Department of Planning, Industry and Environment.	1
Derived from the Interim Biogeographic Regionalisation for Australia (IBRA) version 7.0	1
Service Public de Wallonie	1
StudentenStad	1
Studentenstad	1
BPost	1
CS ism BZ/SSO/GIS	1
Ondernemen en stadsmarketing/Publiek domein en vergunningen	1
CIW	1
Team data / Statistiek	1
CS/Jeugd/Regie Kinderopvang ism Studiedienst/GIS	1
Stadsontwikkeling/Onroerenderfgoed/Archeologie	1
Studiedienst | GIS	1
Stad Antwerpen - Team Data	1
Stad Antwerpen - Stadshaven	1
CS ism Studiedienst / GIS	1
Stadsontwikkeling/Mobiliteit en Parkeren. Copyright: Stad Antwerpen ©	1
Provant	1
SB/SD	1
Stadsontwikkeling/Openbaar domein	1
Stadsontwikkeling/Ontwerpenuitvoering	1
SL/Ontmoeting/dienst levensbeschouwing ism SSO	1
SL / STC	1
Sociale Zaken	1
B-post	1
SW/V/SV	1
SW/ onroerend erfgoed/ monumentenzorg	1
SW ism  BZ/SSO/STAT	1
Dienst Financiën ism Studiedienst	1
Stad Antwerpen SB/GB	1
dienst Financiën ism Studiedienst	1
Stad Antwerpen, Stadsontwikkeling Beheer en Onderhoud (B&O)	1
Stadsontwikkeling / EMA	1
Stad Anwerpen, ABO, DOV	1
CS/Jeugd & SSO|GIS	1
Stadsontwikkeling / Mobiliteit / Mobiliteit en Parkeren	1
Stad Antwerpen, ondernemen en stadsmarketing - webredactie	1
Stadsontwikkeling/Mobiliteit/Parkeerbedrijf	1
SW/B&O , SW/MPA/Mobiliteit/Modal Shift	1
AWV	1
CS	1
CS/Sport	1
Stadsontwikkeling ism de Stedelijk Sportdienst	1
Ondernemen en Stadsmarketing/Business en Innovatie	1
Stad Antwerpen, SW/EMA	1
Brandweer Zone Antwerpen	1
Team Data/GIS	1
