name	value
https://creativecommons.org/licenses/by-nc/4.0/deed.es	184
© IEEE	171
Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International (CC BY-NC-ND 4.0)	157
This contract is part of a digital collection provided by the Martin P. Catherwood Library, ILR School, Cornell University. The information provided is for noncommercial educational use only.	144
L'accés als continguts d'aquest document queda condicionat a l'acceptació de les condicions d'ús establertes per la següent llicència Creative Commons	140
© Taylor & Francis	136
CC-BY	131
Copyright © is held by the author. Digital access to this material is made possible by the University Libraries, University of Arizona. Further transmission, reproduction, presentation (such as public display or performance) of protected items is prohibited except with permission of the author.	127
© Wiley	125
Creative Commons Attribution 4.0 International (CC BY 4.0)	124
Rights covered by the standard CC-BY 4.0 licence: https://creativecommons.org/licenses/by/4.0/	123
© Springer	123
Creative Commons - Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0)	112
info:eu-repo/semantics/closedAccess	111
Atribución 3.0 España	111
© The Author(s)	104
© Springer Nature	99
Creative Commons Attribution-NonCommercial 4.0	99
http://creativecommons.org/licenses/by/4.0/deed.es	95
Copyright © held by the author; distribution rights International Foundation for Telemetering	94
©  Elsevier	92
Arizona Geological Survey. All rights reserved.	88
This work is in the public domain and is available for users to copy, use, and redistribute in part or in whole. No known restrictions apply to the work.	81
Copyright ©, where appropriate, is held by the author.	79
Copyright © Society for Range Management.	79
Attribution-NonCommercial-NoDerivs 3.0 Spain	78
rights_reserved	78
CC BY-NC-ND 4.0	77
"This publication is copyrighted. You may download, display and
print it for Your own personal use. Commercial use is
prohibited."	73
CC0 1.0 Universal	68
© by the authors	66
© Emerald	64
Atribución 4.0 Internacional	63
This work is in the public domain according to U.S. copyright law and is available for users to copy, use, and redistribute in part or in whole. No known restrictions apply to the work.	63
© Elsevier B.V.	61
Creative Commons - Attribution-ShareAlike 4.0 International (CC BY-SA 4.0)	61
This is the author accepted manuscript. The final version is available from Elsevier via the DOI in this record.	61
Attribution-NonCommercial 4.0 International	58
Attribution-NonCommercial-ShareAlike 4.0 International	56
Public Domain: This material has been identified as being free of known restrictions under U.S. copyright law, including all related and neighboring rights.	55
© The Author(s).	53
Copyright © Tree-Ring Society. All rights reserved.	52
© SPIE	51
Atribución-NoComercial-SinDerivadas 3.0 Estados Unidos de América	50
http://creativecommons.org/licenses/by-nc/4.0/deed.es	50
© The Author(s) 2017. Open Access. This article is distributed under the terms of the Creative Commons Attribution 4.0 International License (http://creativecommons.org/licenses/by/4.0/), which permits unrestricted use, distribution, and reproduction in any medium, provided you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons license, and indicate if changes were made.	50
This is the author accepted manuscript. The final version is available from Wiley via the DOI in this record.	46
No Copyright - United States	44
Atribución-NoComercial 3.0 España	42
© 2017. The American Astronomical Society. All rights reserved.	42
Atribución-NoComercial-CompartirIgual 3.0 España	41
Απαγορεύεται η δημοσίευση ή αναπαραγωγή, ηλεκτρονική ή άλλη, χωρίς τη γραπτή συγκατάθεση του δημιουργού και κατόχου των πνευματικών δικαιωμάτων.	39
© The Authors	38
Atribución-NoComercial-CompartirIgual 4.0 Internacional	38
CC0 1.0 Universal (CC0 1.0) Public Domain Dedication	37
This digital collection is provided by the Martin P. Catherwood Library, ILR School, Cornell University. The information provided is for noncommercial, educational use, only.	37
Απαγορέυεται η δημοσίευση ή αναπαραγωγή,ηλεκτρονική η άλλη χωρίς τη γραπτή συγκατάθεση του δημιουργού και κατόχου των πνευματικών δικαιωμάτων.	36
Attribution-NonCommercial-ShareAlike 3.0 Unported (CC BY-NC-SA 3.0)	35
Creative Commons - Attribution 4.0 International (CC BY 4.0)	34
Copyright © Arizona Board of Regents	34
Public Domain: This material has been identified as being free of known restrictions under U.S. copyright law, including all related and neighboring rights.	34
Creative Commons license (CC-BY-NC-SA 3.0). You are free to Share (to copy, distribute and transmit the work) and to Remix (to adapt the work) under the following conditions.  Attribution: You must attribute the work in the manner specified by the author or licensor (but not in any way that suggests that they endorse you or your use of the work). Non-commercial: You may not use this work for commercial purposes. Share Alike: If you alter, transform, or build upon this work, you may distribute the resulting work only under the same or similar license to this one.	33
© American Chemical Society	32
Copyright © Elsevier B.V.	32
© 2017 Elsevier Ltd. All rights reserved.	32
info:eu-repo/semantics/restrictedAccess	29
Accepted manuscript: © 2015, Elsevier. Licensed under the Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International http://creativecommons.org/licenses/by-nc-nd/4.0/	29
Copyright (c) Social Thought and Research. For rights questions please contact Editor, Department of Sociology, Social Thought and Research, Fraser Hall, 1415 Jayhawk Blvd, Lawrence, KS 66045.	28
info:eu-repo/semantics/embargoedAccess	27
Open Data Commons Attribution License (ODC-By) v1.0	27
© American Physical Society	27
Creative Commons Attribution Share-Alike 4.0	27
This thesis is available for Library use on the understanding that it is copyright material and that no quotation from the thesis may be published without proper acknowledgement.	27
© Tots els drets reservats	27
©  IEEE	26
University of Exeter	26
This is the author accepted manuscript. The final version is available from Taylor & Francis via the DOI in this record.	26
Απαγορεύεται η δημοσίευση ή η αναπαραγωγή, ηλεκτρονική ή άλλη χωρίς τη γραπτή συγκατάθεση του δημιουργού και κατόχου των πνευματικών δικαιωμάτων	25
For non-commercial educational or personal use only. All other rights reserved.	25
This is the final version of the article. Available from BioMed Central via the DOI in this record.	24
© by the authors.	23
Acceso restringido para la comunidad universitaria de la ULPGC	23
This work is licensed under a Creative Commons Attribution 4.0 International License. The images or other third party material in this article are included in the article’s Creative Commons license, unless indicated otherwise in the credit line; if the material is not included under the Creative Commons license, users will need to obtain permission from the license holder to reproduce the material. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/	22
Open access. This work is licensed under a Creative Commons Attribution 4.0 International License. The images or other third party material in this article are included in the article’s Creative Commons license, unless indicated otherwise in the credit line; if the material is not included under the Creative Commons license, users will need to obtain permission from the license holder to reproduce the material. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/	22
public_domain	22
Attribution-ShareAlike 4.0 International	21
© Eesti Maaülikool	21
© 2013 SPIE.	21
This is an open access article under the terms of the Creative Commons Attribution License, which permits use, distribution and reproduction in any medium, provided the original work is properly cited.	21
Attribution-NoDerivatives 4.0 International	20
© 2017 IEEE.	20
CC BY-NC 4.0	20
Απαγορεύεται η δημοσίευση ή αναπαραγωγή, ηλεκτρονική ή άλλη χωρίς τη γραπτή συγκατάθεση του δημιουργού και κάτοχου των πνευματικών δικαιωμάτων	19
This is the final version of the article. Available from Oxford University Press via the DOI in this record.	19
This is the author accepted manuscript. The final version is available from Institute of Electrical and Electronics Engineers (IEEE) via the DOI in this record.	19
© 2017 Informa UK Limited, trading as Taylor & Francis Group	19
© Author(s)	18
Creative Commons - Attribution 3.0 Unported (CC BY 3.0)	18
© Colegio de Ingenieros de Caminos, Canales y Puertos (España)	18
This is the final version of the article. Available from Elsevier via the DOI in this record.	18
Aquest document està subjecte a una llicència Creative Commons	18
Copyright © is held by the author. Digital access to this material is made possible by the College of Architecture, Planning and Landscape Architecture, and the University Libraries,  University of Arizona. Further transmission, reproduction or presentation (such as public display or performance) of protected items is prohibited except with permission of the author.	18
© Elsevier Ltd	17
© ACM	17
Creative Commons Attribution-NonCommercial-NoDerivatives 4.0	17
Reconocimiento - Compartir igual (by-sa)	17
Unrestricted use permitted but please acknowledge source and include the dataset handle.	17
This is an Open Access article distributed under the terms of the Creative Commons Attribution License (http://creativecommons.org/licenses/by/2.0), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.	17
© 2015. This manuscript version is made available under the CC-BY-NC-ND 4.0 license http://creativecommons.org/licenses/by-nc-nd/4.0/	17
© Informa UK Limited	16
© Copyright by the ATHENA consortium	16
This document is licensed under a Creative Commons Attribution 3.0 Spain License.	16
Attribution-NonCommercial-ShareAlike 3.0 Spain	16
© 2018 SPIE.	15
© 2016 IEEE.	15
IEEE	15
© 2013 IEEE.	15
CLARIN-ACA-NC	15
http://creativecommons.org/licenses/by-nc-sa/4.0/deed.es	15
This is an open-access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.	15
This is the final version of the article. Available from PLoS via the DOI in this record.	15
© 2016 Elsevier Ltd. All rights reserved.	15
© 2017 Elsevier Inc. All rights reserved.	15
© 2017 Elsevier B.V. All rights reserved.	14
© 2012 IEEE	14
© American Institute of Physics	14
© 2015 IEEE.	14
© 2016 SPIE.	14
© 2017 SPIE.	14
© 2014 SPIE.	14
© Centro de Estudios Políticos y Constitucionales	14
© 2010 The American Physical Society	14
This is an Open Access article distributed in accordance with the Creative Commons Attribution Non Commercial (CC BY-NC 4.0) license, which permits others to distribute, remix, adapt, build upon this work non-commercially, and license their derivative works on different terms, provided the original work is properly cited and the use is non-commercial. See: http://creativecommons.org/licenses/by-nc/4.0/	14
This is an Open Access article distributed in accordance with the terms of the Creative Commons Attribution (CC BY 4.0) license, which permits others to distribute, remix, adapt and build upon this work, for commercial use, provided the original work is properly cited. See: http://creativecommons.org/licenses/by/4.0/	14
This is the final version of the article. Available from Nature Publishing Group via the DOI in this record.	14
Open Access This article is licensed under a Creative Commons Attribution 4.0 International License, which permits use, sharing, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons license, and indicate if changes were made. The images or other third party material in this article are included in the article’s Creative Commons license, unless indicated otherwise in a credit line to the material. If material is not included in the article’s Creative Commons license and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/.	14
© 2017 American Physical Society	14
Required Publisher Statement: © Cornell University. Reprinted with permission. All rights reserved.	14
cc_by-nc-sa	14
©  Wiley	13
© The Institution of Engineering and Technology	13
© Cambridge University Press	13
© Elsevier Ltd.	13
© ISLS	13
© Emerald Publishing Limited	13
© The Author(s) 2017	13
Creative Commons - Attribution-NonCommercial 4.0 International (CC BY-NC 4.0)	13
© 2021 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license.	13
Once access embargoes have lifted, unrestricted use permitted but please acknowledge source and include the dataset handle.	13
© 2015, Elsevier. Licensed under the Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International http://creativecommons.org/licenses/by-nc-nd/4.0/	13
This is the author accepted manuscript. The final version is available from Oxford University Press via the DOI in this record.	13
This is the author accepted manuscript. The final version is available from Springer Verlag via the DOI in this record.	13
Copyright © by the Arizona Board of Regents on behalf of the University of Arizona. All rights reserved.	13
Copyright © All Rights Reserved.	13
Creative Commons  BY-NC-SA	13
© The Author(s) 2018.	12
© 2014 IEEE.	12
© Sociedad Española de Óptica	12
© The Royal Society of Chemistry	12
Apache License 2.0	12
GPL - GNU General Public License	12
MIT License	12
GPL - GNU General Public License 3.0	12
Julkaisu on tekijänoikeussäännösten alainen. Teosta voi lukea ja tulostaa henkilökohtaista käyttöä varten. Käyttö kaupallisiin tarkoituksiin on kielletty. This publication is copyrighted. You may download, display and print it for Your own personal use. Commercial use is prohibited.	12
© Music and Arts in Action 2016	12
This is the final version of the article. Available from the American Geophysical Union via the DOI in this record.	12
© The Author(s). 2017. Open Access. This article is distributed under the terms of the Creative Commons Attribution 4.0 International License (http://creativecommons.org/licenses/by/4.0/), which permits unrestricted use, distribution, and reproduction in any medium, provided you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons license, and indicate if changes were made. The Creative Commons Public Domain Dedication waiver (http://creativecommons.org/publicdomain/zero/1.0/) applies to the data made available in this article, unless otherwise stated.	12
This documented is licensed under a Creative Commons Attribution 3.0 Spain License.	12
This data is made available under the Creative Commons Attribution 3.0 license whose full text can be found at http://creativecommons.org/licenses/by/3.0/legalcode	11
© The Authors.	11
Απαγορεύεται η δημοσίευση ή αναπαραγωγή , ηλεκτρονική ή άλλη χωρίς τη γραπτή συγκατάθεση του δημιουργού και κατόχου τών πνευματικών δικαιωμάτων	11
© IEEE.	11
© 2007 IEEE	11
© Elsevier Inc.	11
CC0 1.0 Public Domain Dedication	11
"Julkaisu on tekijänoikeussäännösten alainen. Teosta voi lukea
ja tulostaa henkilökohtaista käyttöä varten. Käyttö
kaupallisiin tarkoituksiin on kielletty."	11
© 2014. This manuscript version is made available under the CC-BY-NC-ND 4.0 license http://creativecommons.org/licenses/by-nc-nd/4.0/	11
This manuscript version is made available under the CC-BY-NC-ND 4.0 license http://creativecommons.org/licenses/by-nc-nd/4.0/	11
Open access article	11
This is the final version of the article. Available from EDP Sciences via the DOI in this record.	11
Open Access. This article is distributed under the terms of the Creative Commons Attribution 4.0 International License (http://creativecommons.org/licenses/by/4.0/), which permits unrestricted use, distribution, and reproduction in any medium, provided you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons license, and indicate if changes were made. The Creative Commons Public Domain Dedication waiver (http://creativecommons.org/publicdomain/zero/1.0/) applies to the data made available in this article, unless otherwise stated.	11
These creative works by John C. Tibbetts are licensed under a Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License.	11
This is an open access article under the terms of the Creative Commons Attribution-NonCommercial-NoDerivs License 3.0 (CC BY-NC-ND 3.0 US), which permits use and distribution in any medium, provided the original work is properly cited, the use is non-commercial and no modifications or adaptations are made.	11
Copyright	11
ADVERTIMENT. L'accés als continguts d'aquesta tesi doctoral i la seva utilització ha de respectar els drets de la persona autora. Pot ser utilitzada per a consulta o estudi personal, així com en activitats o materials d'investigació i docència en els termes establerts a l'art. 32 del Text Refós de la Llei de Propietat Intel·lectual (RDL 1/1996). Per altres utilitzacions es requereix l'autorització prèvia i expressa de la persona autora. En qualsevol cas, en la utilització dels seus continguts caldrà indicar de forma clara el nom i cognoms de la persona autora i el títol de la tesi doctoral. No s'autoritza la seva reproducció o altres formes d'explotació efectuades amb finalitats de lucre ni la seva comunicació pública des d'un lloc aliè al servei TDX. Tampoc s'autoritza la presentació del seu contingut en una finestra o marc aliè a TDX (framing). Aquesta reserva de drets afecta tant als continguts de la tesi com als seus resums i índexs.	11
Attribution-ShareAlike 4.0	10
Avaldatud materjalide autoriõigused kuuluvad nende autoritele.	10
© The European Society of Cardiology	10
© ASME	10
© 2005 IEEE	10
© Walter de Gruyter	10
© 2013 American Physical Society	10
© 2022 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license.	10
© 2012 American Physical Society	10
© 2020. This manuscript version is made available under the CC-BY-NC-ND 4.0 license	10
© 2014, Elsevier. Licensed under the Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International http://creativecommons.org/licenses/by-nc-nd/4.0/	10
This is the final version of the article. Available from American Astronomical Society via the DOI in this record.	10
This is the final version of the article. Available from BMJ Publishing Group via the DOI in this record.	10
Open access under a Creative Commons CC-BY-NC licence.	10
This is an open access article under the terms of the Creative Commons Attribution-NonCommercial-NoDerivs License 4.0 (CC BY-NC-ND 4.0), which permits use and distribution in any medium, provided the original work is properly cited, the use is non-commercial and no modifications or adaptations are made.	10
Reconeixement-NoComercial-SenseObraDerivada 4.0 Internacional	10
Copyright © is held by the author.	10
© SAGE	9
©  Taylor & Francis	9
© IWA	9
© 2015 Copyright SPIE.	9
© The Author(s) 2016	9
© Informa	9
Creative Commons Attribution-NonCommercial-ShareAlike 4.0	9
© 2019 IEEE. Personal use of this material is permitted. Permission from IEEE must be obtained for all other uses, in any current or future media, including reprinting/republishing this material for advertising or promotional purposes, creating new collective works, for resale or redistribution to servers or lists, or reuse of any copyrighted component of this work in other works.	9
© Los autores	9
© 2019. This manuscript version is made available under the CC-BY-NC-ND 4.0 license	9
© Ministerio de Justicia © Agencia Estatal Boletín Oficial del Estado	9
© 2022 by the authors	9
Attribution 4.0 International  © CERN for the benefit of the CMS collaboration	9
GNU LGPL 3.0	9
Hanaa Malallah	9
This is an Open Access article distributed under the terms of the Creative Commons Attribution License (http://creativecommons.org/licenses/by/4.0), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly credited. The Creative Commons Public Domain Dedication waiver (http://creativecommons.org/publicdomain/zero/1.0/) applies to the data made available in this article, unless otherwise stated.	9
This is the author accepted manuscript. The final version is available from Taylor & Francis (Routledge) via the DOI in this record.	9
This is the final version of the article. Available from Springer Verlag via the DOI in this record.	9
(c) 2016 IEEE. Personal use of this material is permitted. Permission from IEEE must be obtained for all other users, including reprinting/ republishing this material for advertising or promotional purposes, creating new collective works for resale or redistribution to servers or lists, or reuse of any copyrighted components of this work in other works.	9
All articles are licensed under a Creative Commons Attribution Non-Commercial 4.0 International License (CC-BY-NC)	9
This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.	9
This work is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License.	9
This content is in the public domain.	9
Copyright © The Meteoritical Society	9
Creative Commons BY-NC-SA 4.0-US	9
Autoriõigus kuulub Eesti Maaülikoolile, varalised õigused kuuluvad materjali tellijale. Materjal valmis Maaeluministeeriumi ning Põllumajanduse Registrite ja Informatsiooni Ameti (PRIA) tellimusel 2017.a. Kõik autoriõigused on kaitstud. Tartu, 2017	8
CC-BY-NC	8
© SPIE.	8
© Sage	8
© Springer International Publishing AG 2017.	8
Open Access	8
This work is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License	8
Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0)	8
© European Society of Cardiology	8
© Optical Society of America	8
© Inderscience	8
© IGI Global	8
© IOS	8
"BSD 3-Clause ""New"" or ""Revised"" license"	8
in Copyright	8
© Ramón Agüero Calvo	8
© 2018. This manuscript version is made available under the CC-BY-NC-ND 4.0 license	8
© Joaquín García Ortiz, María Begoña Sánchez Madariaga	8
© 2003 URSI España	8
This is the author accepted manuscript. The final version is available from Springer via the DOI in this record.	8
© 2015 Taylor & Francis	8
© Author(s) 2015. This work is distributed under the Creative Commons Attribution 3.0 License.	8
This article is distributed under the terms of the Creative Commons Attribution 4.0 International License (http://creativecommons.org/licenses/by/4.0/), which permits unrestricted use, distribution, and reproduction in any medium, provided you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons license, and indicate if changes were made. The Creative Commons Public Domain Dedication waiver (http://creativecommons.org/publicdomain/zero/1.0/) applies to the data made available in this article, unless otherwise stated.	8
This is the author accepted manuscript. The final version is available from Sage via the DOI in this record.	8
This is the author accepted manuscript. The final version is available from Cambridge University Press via the DOI in this record.	8
© 2016. The American Astronomical Society. All rights reserved.	8
© The Author(s) 2016. Open Access. This article is distributed under the terms of the Creative Commons Attribution 4.0 International License (http://creativecommons.org/licenses/by/4.0/), which permits unrestricted use, distribution, and reproduction in any medium, provided you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons license, and indicate if changes were made.	8
This is the author accepted manuscript. The final version is available from Nature Publishing Group via the DOI in this record.	8
This is the final version of the article. Available from Wiley via the DOI in this record.	8
This is the final version of the article. Available from MDPI via the DOI in this record.	8
This is the final version of the article. Available from the American Astronomical Society via the DOI in this record.	8
© 2016 IEEE. Personal use of this material is permitted. Permission from IEEE must be obtained for all other users, including reprinting/ republishing this material for advertising or promotional purposes, creating new collective works for resale or redistribution to servers or lists, or reuse of any copyrighted components of this work in other works.	8
© 2017 Macmillan Publishers Limited, part of Springer Nature. All rights reserved.	8
© The Author(s) 2017. Open Access. This article is licensed under a Creative Commons Attribution 4.0 International License, which permits use, sharing, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons license, and indicate if changes were made. The images or other third party material in this article are included in the article’s Creative Commons license, unless indicated otherwise in a credit line to the material. If material is not included in the article’s Creative Commons license and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/.	8
© The Author(s) 2017. Open Access This article is licensed under a Creative Commons Attribution 4.0 International License, which permits use, sharing, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons license, and indicate if changes were made. The images or other third party material in this article are included in the article’s Creative Commons license, unless indicated otherwise in a credit line to the material. If material is not included in the article’s Creative Commons license and your intended use is not permitted by statutory regulation or exceeds the permitted use, you will need to obtain permission directly from the copyright holder. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/.	8
© 2016 The Author(s). Open Access. This article is distributed under the terms of the Creative Commons Attribution 4.0 International License (http://creativecommons.org/licenses/by/4.0/), which permits unrestricted use, distribution, and reproduction in any medium, provided you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons license, and indicate if changes were made.	8
Copyright © is held by the author. Digital access to this material is made possible by the College of Architecture, Planning, and Landscape Architecture, and the University Libraries, University of Arizona. Further transmission, reproduction or presentation (such as public display or performance) of protected items is prohibited except with permission of the author or the department.	8
Copyright © 2022 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https://creativecommons.org/licenses/by/4.0/).	8
© Põllumajanduse Registrite ja Informatsiooni Amet	7
© Maaeluministeerium	7
© 2018 Elsevier B.V. All rights reserved.	7
Creative Commons Attribution 4.0 International License CC BY 4.0	7
After embargo period ends, rights covered by the standard CC-BY 4.0 licence: https://creativecommons.org/licenses/by/4.0/	7
© Taylor and Francis	7
© 2010 IEEE	7
© Royal Society of Chemistry	7
© Springer International Publishing AG, part of Springer Nature 2018.	7
© WILEY	7
© Athens Medical Society	7
© by the authors. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license.	7
© Copernicus	7
© Copyright IEEE	7
©  Springer Nature	7
© Association for Computing Machinery	7
© AIP Publishing	7
© Taylor  &  Francis	7
Code of conduct	7
License description	7
Atribución-NoComercial 4.0 Internacional	7
Aquest document està subjecte a una llicència d'ús de Creative Commons, amb la qual es permet copiar, distribuir i comunicar públicament l'obra sempre que se'n citin l'autor original, la universitat i el departament i no se'n faci cap ús comercial ni obra derivada, tal com queda estipulat en la llicència d'ús (http://creativecommons.org/licenses/by-nc-nd/2.5/es/)	7
© ESO	7
© EMW Publishing. The Electromagnetics Academy. Reproduced courtesy of The Electromagnetics Academy	7
© 2016 IEEE. Personal use of this material is permitted. Permission from IEEE must be obtained for all other uses, in any current or future media, including reprinting/republishing this material for advertising or promotional purposes, creating new collective works, for resale or redistribution to servers or lists, or reuse of any copyrighted component of this work in other works.	7
© 2015 IEEE. Personal use of this material is permitted. Permission from IEEE must be obtained for all other uses, in any current or future media, including reprinting/republishing this material for advertising or promotional purposes, creating new collective works, for resale or redistribution to servers or lists, or reuse of any copyrighted component of this work in other works.	7
© 2006 URSI España	7
© 2014 REHABEND	7
© Asamblea de Madrid	7
Published under a Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported (CC BY-NC-ND 3.0) licence: http://creativecommons.org/licenses/by-nc-nd/3.0/	7
Author's draft version; post-print. Final version published by Sage available on Sage Journals Online http://online.sagepub.com/	7
This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.	7
This is the final version of the article. Available from the European Geosciences Union via the DOI in this record.	7
© 2016 The Authors Published by Oxford University Press on behalf of the Royal Astronomical Society	7
"© 2016 The Authors. Published by Elsevier Ltd. This is an open access article under the CC BY license
(http://creativecommons.org/licenses/by/4.0/)."	7
This is the author accepted manuscript. The final version is available from Emerald via the DOI in this record.	7
This is the author accepted manuscript. The final version is available from SAGE Publications via the DOI in this record.	7
This is the final version of the article. Available from Public Library of Science via the DOI in this record.	7
Open access. © Author(s) 2016. This work is distributed under the Creative Commons Attribution 3.0 License.	7
© Cambridge University Press 2017	7
© 2017 The Authors. Published by Elsevier Ltd. Open Access funded by Engineering and Physical Sciences Research Council. Under a Creative Commons license: https://creativecommons.org/licenses/by/4.0/	7
©2017 American Physical Society	7
"© Article author(s) (or their employer(s) unless otherwise stated in the text of the article) 2017. All rights reserved. No commercial use is permitted unless otherwise expressly granted.
This is an Open Access article distributed in accordance with the terms of the Creative Commons Attribution (CC BY 4.0) license, which permits others to distribute, remix, adapt and build upon this work, for commercial use, provided the original work is properly cited. See: http://creativecommons.org/licenses/by/4.0/"	7
© 2017 The Authors. Open access. Published by the Royal Society under the terms of the Creative Commons Attribution License http://creativecommons.org/licenses/by/4.0/, which permits unrestricted use, provided the original author and source are credited.	7
© ESO 2007	7
Required Publisher Statement: Copyright held by the authors.	7
