record.access_arrangements	count
The use of the data beyond the specific context of the corresponding 
publication, for which it was created, should be discussed with the 
lead author in the first instance. Otherwise, the Creative Commons 
Attribution 4.0 International applies.	1
Licence: Creative Commons: Attribution 4.0.	1
This dataset also contains a collection of research notes that may not be shared openly due to legal constraints.	1
Data available under licence Creative Commons Attribution 4.0 International	1
Some portions of the data have been embargoed until July 2019.	1
Not to be live until paper is published.	1
Access to the available documentation may be granted on request to bona fide researchers.	1
Participants did not give consent for data to be shared.	1
Data access is subject to a non-disclosure agreement (NDA) and approval from the sponsor company.	1
Building practitioners are able to download the weather files for the place of interest based on post code or latitude and longitude via the COLBE/ZED-i Repository of Future Weather (https://colbe.bath.ac.uk/), after completing a survey on the use to which the weather data will be put.	1
Access on request to bone fide researchers.	1
The data files have been embargoed until three years after publication of the thesis.	1
Due to concerns about possible re-identification, access is granted to bona fide researchers only and successful access requests will be logged.	1
Access for bona fide researchers	1
When referring to this dataset, please cite the corrected version at https://doi.org/10.15125/BATH-00997 instead of this version. There are, however, no changes to the files between versions.	1
This version does not include rarefaction curves and values of alpha-diversity, richness and evenness per sample. These have been added in Version 2 of this dataset, under the “OTU_table” tab of the spreadsheet.	1
This dataset is presented in the paper, "The mid-infrared Leavitt Law for Classical Cepheids in the Magellanic Clouds", and used in a follow-up paper to explore the 3D structure of the Magellanic Clouds. The file is under embargo until the follow-up paper has been submitted to the journal to be considered for publication. After this, the file will become publicly available.	1
Restricted access data. External users to submit a request to access the data after it is published, to the University of Bath and Dr Gemma Taylor (gmjm20@bath.ac.uk)	1
In this version, the first scene in Preprocessed.zip ("Ballintoy") is missing the fitted scene-adaptive proxy geometry, and the scene "Crescent" in Unpreprocessed.zip contains an incorrect number of frames in the config file. Please refer to version 2 of the dataset for the corrected files.	1
The files are embargoed until 28 May 2021, after which they will be publicly available under licence.	1
The tool (written as a manuscript) is published in the Journal of Building Engineering.	1
Dataset created specifically for this research, can be access on reasonable request (by academics or bona fide researchers). Method is replicable through use of related coding sheets and protocol.	1
As this data contains sensitive information about a vulnerable group of young people relating to their maltreatment experience and mental health, it has some access restrictions. Please request access from the PhD student (Rosie McGuire) or their primary supervisor (Rachel Hiller), with information on how this data will be used.	1
Due to the type of consent participants gave, the data may only be used to verify the study for which it was collected and for further University of Bath research projects, and will be destroyed ten years after the study ended, which will be 24 September 2030. All successful requests for access will be logged.	1
These files are released with all rights reserved, pending the publication of associated research findings in the scientific literature. Following such publication, the files will be released under licence.	1
Aimed at potential readers of journal manuscript "Membrane Extraction with Styrene-Maleic Acid Copolymer Results in Insulin Receptor Autophosphorylation in the Absence of Ligand."	1
Due to the nature of the consent obtained, the data may only be shared with bona fide researchers.	1
Due to the nature of the consent obtained, transcripts may only be accessed by bona fide researchers.	1
Due to licensing restrictions, only a subset of data is openly available from this repository. To access summary statistics for all SNPs associated with multimorbidity, a data transfer agreement is required with 23andMe (dataset-request@23andMe.com) before making a request from this repository.	1
Users are able to download the weather files for a place of interest based on post code or latitude and longitude via the COLBE/ZED-i Repository of Future Weather (https://colbe.bath.ac.uk/), after answering a few questions about their interest in using the weather files.	1
The MN CAD design file (CAD design.zip) can be accessed by bone fide researchers only.	1
Experiment_Videos.zip will be made available on request to bona fide researchers.	1
As the videos include footage of participants, the files are available on request. Requests for access are logged but no specific access restrictions apply. Use of the files is subject to the included licensing agreement.	1
While every effort has been made to anonymise the transcripts fully, they are accessible on request in order to protect participants from possible reidentification.	1
Dataset will be made available on request to bona fide researchers.	1
The Policy Review data is available on request to bone fide researchers only.	1
This data can be instantly accessible, yet it supports a chapter of handbook. Thus any use of this data should refer to the following data sources:
Kivimäki, Timo 2024. “Hegemonic Masculinity and the Power-Centric Method of Conflict Prevention,” In Research Handbook on Conflict Prevention, edited by Timo Kivimäki. Elgar Handbooks in Political Science Series. Cheltenham, UK: Edward Elgar Publishing.

And 

Kivimäki, Timo 2023. “Data on the Effects of Hegemonic Masculinity in US Presidential Speech Acts on Fatalities of Organised Violence in US Wars.”  Bath: University of Bath Research Data Archive. https://doi.org/10.15125/BATH-01342	1
No restrictions.	2
The data are openly available for inspection. The data may not be further re-used, however, without agreement from the data originator. Further details are available on request.	2
Data licenced under Creative Commons Attribution 4.0 International	2
The experimental data in this set are openly available for download. Further information about the participants is available on request but, due to privacy concerns, access will only be granted to bona fide researchers working on a related project, and subject to the completion of a non-disclosure agreement.	2
Data licence - Creative Commons Attribution 4.0 International	2
Data under Licence: Creative Commons Attribution 4.0 International	2
The Data Collection is to be made available to Registered or Authorised Users of UK Data Service.

Requests for Commercial Use of data are to be subject to the permission of the data owner or his/her nominee.	2
Digital data generated during this project is available, for academic research only. Files will be made available to scholars for academic purposes only, subject to the approval of the originators.	2
This dataset consists of a software suite which we expect to be of interest to both academic and commercial (biopharma) users. Users applying from a valid academic email address should be permitted access to the suite on condition that they agree to our assertion of rights, as set out in the file RIGHTS.txt.	2
Due to the nature of the consent obtained, access to the data will only be granted to bona fide researchers engaged on ethically approved research.	2
Data files created for this research may be accessed on reasonable request by academics and other bona fide researchers.	2
All files are available under a Creative Commons Attribution - Share Alike 4.0 International Licence.	3
Openly available for download	3
The use of the data beyond the specific context of the corresponding publication, for which it was created, should be discussed with the lead author in the first instance. Otherwise, the Creative Commons Attribution 4.0 International applies.	4
All items available for download under a Creative Commons Attribution (CC-BY) licence.	5
This dataset has not been approved for public release.	13
If sharing a derivative work, any changes should be explicitly identified.	57
